task,condition,model,n_per_group,mean_self,mean_nonself,mean_diff,p_value,p_adj,sig,condition_short
hireability-ratings,no-context,deepseek-r1,47,-1.127659574468085,-0.425531914893617,-0.7021276595744681,4.670112833420244e-06,1.050775387519555e-05,***,NC
hireability-ratings,no-context,gemini2.5-flash,47,-1.4680851063829787,-0.8936170212765957,-0.574468085106383,0.01519824818252983,0.021043728252733613,*,NC
hireability-ratings,no-context,gpt4o,47,-0.9361702127659575,-0.06382978723404255,-0.8723404255319149,6.394285492943348e-11,5.754856943649014e-10,***,NC
hireability-ratings,no-context,gpt4o-mini,47,-0.9574468085106383,-0.19148936170212766,-0.7659574468085106,2.0654720958258104e-11,2.1244855842779763e-10,***,NC
hireability-ratings,no-context,gpt5.2,47,-1.1063829787234043,-0.2553191489361702,-0.8510638297872342,7.714242568409661e-09,4.2725035763499665e-08,***,NC
hireability-ratings,no-context,llama3.3-70b,47,-1.6170212765957446,-0.6595744680851063,-0.9574468085106382,1.7731646594346175e-06,4.631092301471344e-06,***,NC
hireability-ratings,autistic,deepseek-r1,47,-0.2127659574468085,0.0,-0.2127659574468085,0.12091495221222473,0.14271928785705215,,A
hireability-ratings,autistic,gemini2.5-flash,47,0.10638297872340426,0.6170212765957447,-0.5106382978723404,0.04154114802534511,0.053410047461157996,,A
hireability-ratings,autistic,gpt4o,47,0.06382978723404255,0.0,0.06382978723404255,0.32254204987898993,0.3427311071888355,,A
hireability-ratings,autistic,gpt4o-mini,47,-0.48936170212765956,0.0,-0.48936170212765956,1.3149092474393726e-06,3.944727742318118e-06,***,A
hireability-ratings,autistic,gpt5.2,47,-0.3617021276595745,-0.1276595744680851,-0.2340425531914894,0.07448580817304751,0.0908979353976173,,A
hireability-ratings,autistic,llama3.3-70b,47,-0.6382978723404256,0.425531914893617,-1.0638297872340425,7.952878297464599e-07,2.602760170079323e-06,***,A
hireability-ratings,neurodivergent,deepseek-r1,47,-0.2127659574468085,0.02127659574468085,-0.23404255319148937,0.10848721282297198,0.13018465538756638,,N
hireability-ratings,neurodivergent,gemini2.5-flash,47,0.0,0.5106382978723404,-0.5106382978723404,0.03909856134895165,0.0511835712204458,,N
hireability-ratings,neurodivergent,gpt4o,47,0.02127659574468085,0.02127659574468085,0.0,1.0,1.0,,N
hireability-ratings,neurodivergent,gpt4o-mini,47,-0.5319148936170213,0.0,-0.5319148936170213,7.380329753197764e-07,2.5303987725249475e-06,***,N
hireability-ratings,neurodivergent,gpt5.2,47,-0.48936170212765956,-0.14893617021276595,-0.3404255319148936,0.00803225409375881,0.011802495811237436,*,N
hireability-ratings,neurodivergent,llama3.3-70b,47,-0.8085106382978723,0.46808510638297873,-1.2765957446808511,7.522675059836236e-08,3.610884028721393e-07,***,N
hireability-ratings,neurodiversity-informed,deepseek-r1,47,-1.0638297872340425,0.23404255319148937,-1.297872340425532,8.390200056763017e-11,6.040944040869373e-10,***,NDI
hireability-ratings,neurodiversity-informed,gemini2.5-flash,47,-0.2978723404255319,0.7872340425531915,-1.0851063829787235,3.533458567622327e-05,6.694974128126514e-05,***,NDI
hireability-ratings,neurodiversity-informed,gpt4o,47,-0.5319148936170213,0.0425531914893617,-0.5744680851063829,2.4418448686627865e-06,6.062511398059332e-06,***,NDI
hireability-ratings,neurodiversity-informed,gpt4o-mini,47,-0.9574468085106383,0.02127659574468085,-0.9787234042553192,6.920691585328826e-14,1.2457244853591888e-12,***,NDI
